dependency,restimulus,num_obs_train,num_subj_train,num_subj_rerep_train,num_obs_test,num_subj_test,num_subj_rerep_test,num_coeffs_glm,wmae_glm_train,wwmape_glm_train,wmae_glm_test,wwmape_glm_test,num_coeffs_lme,subj_intercept_mean,subj_intercept_var,rand_eff_var,rand_eff_ICC,x_joint_poly_stand_est,x_joint_poly_stand_t_val,y_joint_scale,y_joint_center,x_joint_poly_scale,x_joint_poly_center,wmae_lme_train,wwmape_lme_train,wmae_lme_test,wwmape_lme_test,x_joint_scaled_stand_est,x_joint_scaled_stand_t_val,x_joint_scaled_scale,x_joint_scaled_center,x_joint_exp_stand_est,x_joint_exp:x_joint_weight_exp_stand_est,x_joint_exp_stand_t_val,x_joint_exp:x_joint_weight_exp_stand_t_val,x_joint_exp_scale,x_joint_exp:x_joint_weight_exp_scale,x_joint_exp_center,x_joint_exp:x_joint_weight_exp_center,x_joint_poly:x_joint_height_exp_stand_est,x_joint_poly:x_joint_height_exp_stand_t_val,x_joint_poly:x_joint_height_exp_scale,x_joint_poly:x_joint_height_exp_center,x_joint_poly:x_joint_weight_exp_stand_est,x_joint_poly:x_joint_weight_exp_stand_t_val,x_joint_poly:x_joint_weight_exp_scale,x_joint_poly:x_joint_weight_exp_center,x_joint_exp:x_joint_height_exp_stand_est,x_joint_exp:x_joint_height_exp_stand_t_val,x_joint_exp:x_joint_height_exp_scale,x_joint_exp:x_joint_height_exp_center,x_joint_height_stand_est,x_joint_height_stand_t_val,x_joint_height_scale,x_joint_height_center,x_joint_scaled:x_joint_height_exp_stand_est,x_joint_scaled:x_joint_height_exp_stand_t_val,x_joint_scaled:x_joint_height_exp_scale,x_joint_scaled:x_joint_height_exp_center,x_joint_weight_stand_est,x_joint_weight_stand_t_val,x_joint_weight_scale,x_joint_weight_center,x_joint_scaled:x_joint_height_poly_stand_est,x_joint_scaled:x_joint_height_poly_stand_t_val,x_joint_scaled:x_joint_height_poly_scale,x_joint_scaled:x_joint_height_poly_center,x_joint_scaled:x_joint_weight_poly_stand_est,x_joint_scaled:x_joint_weight_poly_stand_t_val,x_joint_scaled:x_joint_weight_poly_scale,x_joint_scaled:x_joint_weight_poly_center,x_joint_scaled:x_joint_poly_stand_est,x_joint_scaled:x_joint_poly_stand_t_val,x_joint_scaled:x_joint_poly_scale,x_joint_scaled:x_joint_poly_center,x_joint_weight_exp:x_joint_weight_poly_stand_est,x_joint_weight_exp:x_joint_weight_poly_stand_t_val,x_joint_weight_exp:x_joint_weight_poly_scale,x_joint_weight_exp:x_joint_weight_poly_center,x_joint_weight_exp_stand_est,x_joint_weight_exp_stand_t_val,x_joint_weight_exp_scale,x_joint_weight_exp_center,x_joint_height:x_joint_weight_exp_stand_est,x_joint_height:x_joint_weight_exp_stand_t_val,x_joint_height:x_joint_weight_exp_scale,x_joint_height:x_joint_weight_exp_center,x_joint_weight_exp:x_joint_poly_stand_est,x_joint_weight_exp:x_joint_poly_stand_t_val,x_joint_weight_exp:x_joint_poly_scale,x_joint_weight_exp:x_joint_poly_center,x_joint_poly:x_joint_weight_poly_stand_est,x_joint_poly:x_joint_weight_poly_stand_t_val,x_joint_poly:x_joint_weight_poly_scale,x_joint_poly:x_joint_weight_poly_center
PIP2 - DIP2,15,327633,25,65,96535,15,16,5,13.64522701574894,0.6798969537078781,12.617206709188546,0.6254948701306912,2,-0.6408592741130843,1.1569145549933963,1.5213613952202023,0.8349795479001618,NA,NA,18.961014978228064,20.700439641126646,NA,NA,7.716145889103983,0.38447026775826926,8.09265392510916,0.40119129634393774,0.9547384856920146,644.2106766314903,16.204358260565417,48.916545178714266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIP2 - DIP2,16,194702,17,48,45805,12,12,4,7.740282764176569,0.8002783150142971,7.828993349520523,0.7040471940536296,2,-0.8140071888229071,1.1518698656643356,1.746757840241737,0.8649555143529509,NA,NA,10.479220902472331,10.995860015817678,NA,NA,4.089443084651049,0.4228130574606429,4.24649936166602,0.3818799974219665,0.9768323935101032,598.61866829883445,16.429524853739043,38.194997263943286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIP2 - DIP2,17,453465,26,73,107941,18,18,5,9.292217433255368,0.4232826539150916,8.668071383222989,0.4420966493424097,3,-0.04988282621797253,1.6563475065187794,1.595111910683089,0.93656913318513,1.3359512171428551,1498.2468011182227,19.405925176925237,19.56040363780142,2590.518687377009,3742.2038628961946,4.782110115736133,0.2178365148730553,6.099360565474644,0.3110849864880718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6271068270799147,387.0045217610197,20688419365583932e67,6526221444042515e67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIP2 - DIP2,18,196774,22,57,45379,12,14,7,7.359186400950138,0.5505146387049092,9.540818992635629,0.7309430617294571,4,-0.46307538346376753,1.1639992976057894,1.3255124497631778,0.9187909813034272,1.7820105283812178,427.0243262403544,14.569030245064958,12.190954329288054,2234.4447689578087,2596.507697461597,3.8434283538618206,0.287513246211737,6.992622002531673,0.535720103273368,-0.4752094538343586,-116.92339456201664,21.227350044260668,46.32396353399272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6426830340482769,344.90806429989686,21236446224525263e66,9026136603899783e66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIP2 - DIP2,19,224158,21,53,55523,13,13,11,5.125824768161227,0.6925513239694867,5.484703266596312,0.7590105984392727,3,-0.5830089363737406,1.3900124544711716,1.663844384465675,0.8216223536273822,0.647149212085852,99.48866152750767,7.683684488394947,6.032510166570976,2121.509056721084,2916.2128286895095,3.438171555256349,0.46453212318476944,3.588952682460344,0.4966637192343401,0.653828872493169,90.74780936364004,20.690282800496696,49.88112805544979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIP2 - DIP2,20,423268,32,101,135517,23,25,7,13.403343226119771,0.4695227541166713,14.84052097389436,0.4775977134608706,2,-0.24730950285170392,0.3842925970744113,0.4334644163701499,0.7073031684548525,0.970675593952132,1254.9054297883797,28.53262470116278,29.571519190303704,3009.4771602089286,3199.316845638566,9.506009842614306,0.3329981070145708,10.157776364980434,0.32689760516463007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PIP2 - DIP2,21,387402,33,114,97005,26,28,14,10.32247123379381,0.724558646048334,9.884954068751377,0.6711368182365854,2,-0.10691434634801344,1.1058043260050707,1.0838447606150854,0.5087511272358285,NA,NA,11.299257927778571,12.413256108457956,NA,NA,8.254319232411182,0.579390170399,8.062698435272667,0.5474151661823058,0.9764503775600538,457.0100389112191,20.021497118767236,47.49342842609492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP2_f - DIP2,2,501923,51,164,146409,39,41,5,15.729425389024655,0.4902486799171692,15.907030118972925,0.5058277924542918,2,-0.06504054427521729,0.5474798242526304,0.5410013977983583,0.7343334113811111,NA,NA,27.69251993323159,28.759366230508416,NA,NA,9.577569394289746,0.29850999869593964,10.55000788788296,0.33547979480708784,0.9404174690640208,1341.4444745897802,19.751018512326777,40.84740699884448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP2_f - DIP2,3,522757,46,158,158991,35,39,5,15.608688490504914,0.5154275396293301,15.622408806472476,0.5229939767573364,2,0.01794088087389413,0.6273403826652304,0.6140678609561961,0.6482347912810879,NA,NA,24.86293376633977,26.8264677063256,NA,NA,11.527661136645028,0.3806645267445779,12.604861063299577,0.4219750293077423,0.9627390342868684,942.4120777669444,17.7074466485306,43.887799218954626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP2_f - DIP2,5,382100,33,116,86847,26,29,16,13.915916837114729,0.61209479608042,16.382246658674724,0.6515583578132423,2,0.09468311790434364,0.8339735366763052,0.817740534611531,0.6415534031926825,NA,NA,20.408066372344983,22.496481327230764,NA,NA,10.52885647029822,0.46311416844334985,14.315568466543764,0.5693619730896452,1.093990001496665,584.622939929551,20.443493212394504,27.09944225468568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP2_f - DIP2,10,415701,33,105,87103,26,26,5,13.257916187149016,0.5937407035650335,14.893499942399234,0.6649197214449826,2,-0.2042571305158154,1.1564885106566003,1.1632602482361234,0.7933682008356067,NA,NA,18.64620330299684,22.164189453782353,NA,NA,7.940833366143891,0.3556211943983361,9.278981345705445,0.41425975865587894,1.0027706522885274,798.5674412527617,17.1218730503576,38.07104686571381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP2_f - DIP2,17,604103,29,102,137995,24,25,6,12.230074734022896,0.6254329590151944,12.110356177671813,0.6165676701558642,3,-0.13728901383618836,0.835924462522467,0.8259270640566487,0.675367967566635,-0.8886881309475976,-169.48072292321123,17.442086821651145,17.522842426310227,1507.013148689643,2319.7012600367516,8.371473825329746,0.4281082298972997,9.1457117587916,0.4656304165051653,1.674026434692366,309.7491002048627,15.68209542842079,45.538703869422925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP3_f - PIP3,1,154967,17,61,50325,15,15,5,7.677322148697638,0.5721758170761704,6.744133567065996,0.6020491586525463,2,-0.49301626607208265,0.6130485776713998,0.8201048777124047,0.7403423023750663,NA,NA,13.95058705121831,17.12460251310755,NA,NA,5.803855598193239,0.43255001610837174,6.060185963645874,0.5409931200811381,0.6459963449619652,432.9888995930592,14.196757717078556,36.75168043055436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP3_f - PIP3,2,448608,25,98,107994,21,24,5,10.712962135743846,0.4880468647329329,8.977041577040147,0.3879692555198931,2,-0.2791320786443523,0.6734351198604045,0.7244139087365128,0.789234658957753,0.9802657142618962,1339.0834134166298,19.67896215037532,17.838764799310585,2128.783706211497,2655.4958609960045,6.443469150263073,0.2935429881056812,6.5757820392855,0.2841917618792901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP3_f - PIP3,3,505702,33,124,128348,28,31,5,11.541072357974349,0.4863671171326986,11.278978378350835,0.4971806446480945,3,-0.03626103527569825,0.49280299031500857,0.4942070585309013,0.6652221675176321,1.0183456060773393,1234.192437616841,20.046776522333015,19.895057662806497,2129.5091566185133,3088.2400533826153,7.722806135009842,0.3254566681114472,7.490045059341298,0.33016336286222014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6096542629200179,5.177169345635138,6.836902536694175,178.91322755298577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP3_f - PIP3,4,374092,44,122,100244,30,30,5,13.51239701847828,0.44682475232821606,14.879498602112417,0.4481130514767121,2,-0.2298809509845225,0.4509295387690725,0.49357916781307015,0.5751341821652693,0.6551709917620037,586.6504245156029,22.236809611697996,29.873935707720975,2156.418508167071,4016.993925889406,10.159818183031735,0.33596246743822383,12.27418435838802,0.36965104499180695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP3_f - PIP3,5,494582,31,110,134418,25,27,5,11.173619744044112,0.6285676555670283,11.604302624281356,0.6787180029692585,2,-0.22769018759240892,0.9654440903201152,0.9861815236417764,0.6989135425616004,NA,NA,15.18774926488158,16.879404904526005,NA,NA,7.728680818775919,0.43477394919164897,8.18265224263819,0.4785908786534472,0.8901513716929988,611.7027531949601,17.093163625090483,41.92266316854611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP3_f - PIP3,6,159207,12,36,28817,9,9,9,7.405587070714083,0.5567672257387931,8.485388865860834,0.6531950196672933,3,-0.04311957921228525,1.5959326125177422,1.464803045392074,0.9351056952530457,0.76211147454869,205.4176698492732,10.441493995075422,10.246666538539415,1807.5006867089744,1732.995848027991,2.4405764438771715,0.18348754297070424,7.208985712661746,0.5549390415456952,0.7445484601312625,191.9803189695053,21.158752265474895,35.85116263963131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP3_f - PIP3,8,347489,19,67,94836,14,16,5,8.942298042793396,0.29775404728322863,7.745738959186217,0.2695890990002824,2,-0.2981669793031462,0.27245052920857254,0.34698081153393023,0.8339541637377348,0.927164920632351,1888.7759572348032,25.522768567575437,30.06336536407022,2614.753647374189,3236.7270019662706,5.119819866446327,0.1704759871903426,4.166077746400232,0.14499961229459812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP3_f - PIP3,9,335664,23,73,96165,17,18,6,10.30580270889189,0.48316949003229936,9.96844286338659,0.4480778311359881,2,-0.30087647730456907,1.6949675422992807,1.711856572826018,0.8902268980997046,0.962341284376368,894.0517945417716,13.908114280894877,18.930904985962837,2102.7423387371527,3355.68218290698,4.664074152895547,0.21866693877062168,5.651404954046533,0.2540285688932622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP3_f - PIP3,10,322386,23,80,79500,19,19,5,7.768665474646324,0.5387474992606731,7.8783783176866224,0.5173428553248615,2,-0.4252919601362301,1.2785334470526866,1.4038857547753645,0.8145896232687393,NA,NA,12.042362586023248,13.837920017964484,NA,NA,5.2475711769741595,0.3639126768958889,4.892636683407425,0.3212806658673382,0.8851343557959798,591.2573380613867,15.960184014103628,38.54695369962947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP3_f - PIP3,11,233824,22,56,50952,14,14,5,8.418515425390298,0.4712078857980688,9.127667357719206,0.5753887583634968,4,-0.23504147572822304,1.087256965073984,1.145164938176462,0.8198121385217847,0.8082142959319608,124.97603700173312,14.532582601680522,19.31478487771636,2029.6046180820824,2274.7240444517397,5.140900921033921,0.28775062249000155,7.750146627064568,0.48855277806662023,0.3631896960843529,55.72381309976805,21.54521437367422,42.55032041338873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8145818611950423,4.1874600389739,7.217733347145483,183.41546205693172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP3_f - PIP3,12,180506,18,52,40636,12,13,7,6.022868900365803,0.6681375626259172,6.001863557375089,0.7009639632124309,2,0.09924224928134842,1.1144721601865344,1.062370870923028,0.89944902060511,0.9362022789326204,593.2102302125737,10.969618056770496,9.843232125076884,1968.5152761586803,3391.70156941452,2.6434026816418963,0.2932417513925566,3.319833440293687,0.38772684238279653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP3_f - PIP3,13,167262,18,52,54898,13,13,5,9.332139360760102,0.6064880463789303,9.311849765701346,0.5658534071190344,2,-0.0022234482791961,2.0527195015109783,1.9386303670385436,0.8986901069742985,NA,NA,11.335405151858616,14.95178363413701,NA,NA,3.893122126748168,0.2530107986700456,5.403034015850771,0.32832630289100545,1.173427049272299,574.7429853450066,20.11197015663419,51.571365214100986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP3_f - PIP3,14,305841,21,61,70576,14,15,4,6.641620834878851,0.864939743533541,5.579038205298261,0.930644340160184,2,-0.7038569366955575,1.2812073894788247,1.715760148282,0.8183584844558024,0.5813370470913648,463.03819158640465,8.099342203997034,8.377858122140719,1574.4062854026092,1705.9167061793014,3.867855566809309,0.5037116820056842,3.3970288532426416,0.5666614135441453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP3_f - PIP3,16,252840,14,45,52305,10,11,10,4.564031266461823,0.3135104651766091,9.816098575445857,0.6913056577427592,3,0.01300798986167237,0.5387898836458201,0.5004493939316392,0.6737132143504645,1.8984877218317984,260.16083635314635,10.37060079403044,13.47122001138331,1712.7429454191104,2044.8868000220168,3.6785356302197463,0.2526843812559955,10.938550866934216,0.7703551511528214,-0.8470840742456281,-115.2389946866218,18.281268432920264,41.36040795626836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP3_f - PIP3,17,246910,20,54,65095,13,13,5,5.958202514295896,0.4248147240758789,6.682571293764254,0.4507650953091129,3,-0.5472644327615669,2.171564654921512,2.3625026941577194,0.9421984741748368,0.39070162576173906,96.24970728955182,8.447944325908248,11.741944144011104,1581.7475969736877,2371.3527430007457,2.400027690724248,0.17111991389402725,5.320977677092607,0.3589203772491657,0.642794174258675,145.21520145092754,16.319015603784216,45.88075360427758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP3_f - PIP3,19,354461,19,62,82154,14,15,5,5.2462170178128735,0.7345047311561875,5.118893502321607,0.7875022844379636,4,-0.32245819249339014,1.0548862417473994,1.1034415366390895,0.8759154093319664,1.140779939630956,380.4504888270598,8.792608118173403,7.298325721952552,1398.0960413739078,1445.3611844655063,2.526777960996608,0.3537654581637805,4.5380026158536655,0.6981367018378906,-0.4858617704386594,-161.56567133990495,17.985468932524345,33.494551860435166,NA,NA,NA,NA,NA,NA,NA,NA,0.5283949563016217,376.1050015509762,6634082221089189e68,29049980290969156e67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP3_f - PIP3,20,310588,20,73,77613,18,18,10,6.710021075795949,0.30569375871165805,7.800647646320496,0.3353378081408994,4,-0.26543316231931685,0.7285837462288404,0.7626730102274412,0.8233332652826828,0.8134153691812076,1116.1785947027802,20.357822026471062,21.624256582043937,1696.0102398260583,1833.4285920955288,6.451773985153537,0.2939285909240942,7.105478989950983,0.3054535800505349,NA,NA,NA,NA,2.435501378656395,NA,60.22436092652906,NA,6001410227369604e22,NA,5523850834677388e21,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.406161121719253,61.77334372909429,10405161314835626e102,13338276943416575e100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCP3_f - PIP3,21,244135,21,65,51187,16,16,5,8.82304394081668,0.46332661267049935,11.237636915279264,0.612646673345857,2,-0.16579460429354856,1.2892351158436648,1.255271538297286,0.7910240938123267,0.9742783085782014,834.7991161385497,11.598053860739386,14.65553519461696,1707.3221263382527,2902.5597781829715,4.939105088374696,0.2593684045518257,5.170049725654332,0.28185763513574724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
